id,artist_id,album_title,genre,year_of_pub,num_of_tracks,num_of_sales,rolling_stone_critic,mtv_critic,music_maniac_critic
1,1767,Call me Cat Moneyless That Doggies,Folk,2006,11,905193,4,1.5,3
2,23548,Down Mare,Metal,2014,7,969122,3,4,5
3,17822,Embarrassed Hungry,Latino,2000,11,522095,2.5,1,2
4,19565,Standard Immediate Engineer Slovakia,Pop,2017,4,610116,1.5,2,4
5,24941,Decent Distance Georgian,Black Metal,2010,8,151111,4.5,2.5,1
6,1988,Tall,Progressive,2018,15,537615,4.5,1.5,2
7,43032,Steel Patrol Officer The Queen Panda Pleasant,Pop-Rock,2006,5,254802,5,2,2.5
8,648,kneel Llama Hanger Uzbekistan Relax,Retro,2005,3,488696,0.5,5,4.5
9,19441,Lovers Totally Manager,Latino,2008,10,239081,1.5,2,2.5
10,13687,Rock,Western,2002,14,531099,3.5,1,3.5
11,42331,Boring Tetum Living On A Prayer Bandicoot Malay,K-Pop,2017,14,164412,1.5,3.5,3
12,5630,Crying for the Of Love Zeus,Indie,2008,4,395487,2,5,4
13,40571,Bonjour Damoiselle Belle,Lounge,2014,12,229540,0.5,1,4.5
14,11023,Gabby Orange Bird,J-Rock,2009,2,565346,2.5,1.5,1.5
15,5242,Information Miami Dream France Blue,Western,2006,4,229870,1.5,0.5,2
16,19825,Permit Robbers,Hard Rock,2001,13,237665,4.5,1.5,2
17,48831,Pies Face Hanger Panda,Unplugged,2009,5,551170,0.5,3,1
18,23087,Of Loves Flippin,J-Rock,2017,6,327052,4.5,2.5,1
19,26338,Barbie Boring,Pop-Rock,2013,15,349194,3.5,1.5,4.5
20,10563,Dental Hygienist Don't Talk to,Jazz,2003,13,539238,5,2,5
21,30707,To my Beloved And Lucky Desperate,Trap,2003,6,172556,2.5,4,1
22,1767,Practical,K-Pop,2015,4,466981,4.5,4,3
23,23548,Life Of A Queen,Retro,2009,15,165557,2,3.5,1.5
24,17822,Saudi Audi,Lounge,2016,6,833311,5,4.5,0.5
25,19565,Entertaining,Pop,2011,7,430186,4.5,2.5,4
26,24941,Turkish Georgian,Ambient,2012,10,177322,2,4.5,4.5
27,1988,Morgan The Delightful Heroes of Wales I'll Former Daihatsu,Rap,2011,2,444811,3,4.5,3
28,43032,Confident,Lounge,2011,6,765393,4,2,4.5
29,648,Ferret Past Good,Heavy Metal,2015,14,564423,4.5,3.5,1.5
30,19441,Try Cadillac,Pop,2008,6,953494,1.5,4,0.5
31,13687,Direful A Wild,Latino,2017,15,749968,2,1,3
32,42331,Dancing Cow Of,Dance,2019,7,15211,3,0.5,0.5
33,5630,Of Singapore Of Finding Weak,Retro,2015,10,498303,0.5,1,0.5
34,40571,Gonna Bison Of Believe In the Sky,Alternative,2002,3,422751,4.5,5,4
35,11023,Algerian Candy,Death Metal,2005,3,77769,5,1.5,2
36,5242,Next to Matteo Reasonable Able Jamila,Trap,2014,12,547414,3.5,4.5,5
37,19825,Entertaining Time,Death Metal,2007,3,583635,2.5,3.5,4
38,48831,Ride I'm Brash,Pop,2019,9,981505,3,2,2.5
39,23087,Latter Finding,Heavy Metal,2006,2,902314,4,4.5,5
40,26338,RAM Trucks I used to,Live,2015,13,609209,1.5,4.5,3
41,1767,RAM Trucks Eland Headless Chicken Useful,K-Pop,2002,8,494751,5,3.5,3.5
42,23548,Matteo Noodles,Blues,2015,2,499069,3.5,2.5,3.5
43,17822,Financial Latter,Compilation,2014,6,635575,3.5,4,3
44,19565,Pharmacist Final Form,Gospel,2013,13,807633,3.5,5,4.5
45,24941,Don't Forget the,Metal,2012,2,853478,3.5,2,1
46,1988,Pies Sufficient Hare,Ambient,2012,7,222783,3.5,0.5,0.5
47,43032,Song More,Country,2012,3,444808,4.5,3,0.5
48,648,Interesting Pure Important Camel Adventure of the,Metal,2007,12,737881,5,5,1.5
49,19441,Nice Federal Sandwiches Existing Southern,Jazz,2008,5,507873,2.5,5,2
50,13687,Butter,Black Metal,2010,2,212345,0.5,4,4.5
51,42331,Mister Sing My Asset Yellow,Pop,2002,12,916873,2.5,2,2.5
52,5630,Ampelmann Hear Psychedelic For Us,Pop-Rock,2015,11,44603,3.5,2,0.5
53,40571,Bertie Said Lion Music Shaggy,Deep House,2011,2,754243,2,3,4.5
54,11023,Electrical Alan On a My Cause,Indie,2016,7,911157,3.5,4,0.5
55,5242,That's My Ultra-Maximus Lamb,Black Metal,2015,11,980691,0.5,3.5,2
